uf50-0653.cnf,T,593
uf50-0821.cnf,T,189
uf50-0709.cnf,T,69
uf50-0487.cnf,T,17
uf50-0384.cnf,T,354
uf50-0319.cnf,T,179
uf50-0181.cnf,T,17
uf50-0814.cnf,T,735
uf50-032.cnf,T,17
uf50-0340.cnf,T,61
uf50-0357.cnf,T,99
uf50-0582.cnf,T,225
uf50-0210.cnf,T,34
uf50-03.cnf,T,20
uf50-0785.cnf,T,137
uf50-0762.cnf,T,95
uf50-0630.cnf,T,347
uf50-0554.cnf,T,42
uf50-0536.cnf,T,331
uf50-0587.cnf,T,241
uf50-0386.cnf,T,194
uf50-0913.cnf,T,32
uf50-041.cnf,T,389
uf50-0703.cnf,T,59
uf50-0605.cnf,T,11
uf50-0238.cnf,T,48
uf50-0583.cnf,T,197
uf50-022.cnf,T,54
uf50-0226.cnf,T,210
uf50-0999.cnf,T,274
uf50-0158.cnf,T,118
uf50-0382.cnf,T,741
uf50-0638.cnf,T,117
uf50-0751.cnf,T,337
uf50-0351.cnf,T,220
uf50-0988.cnf,T,14
uf50-0500.cnf,T,142
uf50-0624.cnf,T,241
uf50-0900.cnf,T,203
uf50-0629.cnf,T,270
uf50-0476.cnf,T,285
uf50-0724.cnf,T,21
uf50-0520.cnf,T,10
uf50-0143.cnf,T,206
uf50-0247.cnf,T,80
uf50-0544.cnf,T,16
uf50-0172.cnf,T,343
uf50-0511.cnf,T,114
uf50-0314.cnf,T,34
uf50-0611.cnf,T,67
uf50-0259.cnf,T,353
uf50-0323.cnf,T,547
uf50-0869.cnf,T,158
uf50-0404.cnf,T,12
uf50-0541.cnf,T,89
uf50-0376.cnf,T,60
uf50-0163.cnf,T,631
uf50-0236.cnf,T,13
uf50-0938.cnf,T,8
uf50-0849.cnf,T,112
uf50-0206.cnf,T,28
uf50-0471.cnf,T,96
uf50-0208.cnf,T,86
uf50-0648.cnf,T,315
uf50-0532.cnf,T,14
uf50-0735.cnf,T,394
uf50-0120.cnf,T,247
uf50-063.cnf,T,479
uf50-0579.cnf,T,60
uf50-0104.cnf,T,125
uf50-025.cnf,T,248
uf50-0710.cnf,T,46
uf50-033.cnf,T,143
uf50-0460.cnf,T,76
uf50-0754.cnf,T,8
uf50-0337.cnf,T,289
uf50-0130.cnf,T,14
uf50-0270.cnf,T,130
uf50-0183.cnf,T,70
uf50-0105.cnf,T,178
uf50-0267.cnf,T,100
uf50-021.cnf,T,10
uf50-0110.cnf,T,395
uf50-0679.cnf,T,326
uf50-0812.cnf,T,158
uf50-019.cnf,T,73
uf50-0412.cnf,T,69
uf50-0560.cnf,T,6
uf50-0846.cnf,T,215
uf50-0833.cnf,T,10
uf50-0832.cnf,T,280
uf50-0186.cnf,T,264
uf50-0512.cnf,T,85
uf50-0931.cnf,T,147
uf50-0878.cnf,T,404
uf50-0764.cnf,T,299
uf50-082.cnf,T,70
uf50-0301.cnf,T,441
uf50-0413.cnf,T,410
uf50-0921.cnf,T,56
uf50-0440.cnf,T,391
uf50-0919.cnf,T,88
uf50-0932.cnf,T,6
uf50-0140.cnf,T,84
uf50-0851.cnf,T,12
uf50-0599.cnf,T,136
uf50-0901.cnf,T,354
uf50-0721.cnf,T,27
uf50-037.cnf,T,120
uf50-0761.cnf,T,119
uf50-0746.cnf,T,250
uf50-0883.cnf,T,19
uf50-0288.cnf,T,5
uf50-0981.cnf,T,88
uf50-0470.cnf,T,823
uf50-0185.cnf,T,87
uf50-075.cnf,T,60
uf50-0112.cnf,T,433
uf50-0137.cnf,T,120
uf50-0513.cnf,T,106
uf50-0102.cnf,T,25
uf50-0244.cnf,T,502
uf50-0199.cnf,T,9
uf50-0327.cnf,T,316
uf50-0419.cnf,T,231
uf50-0797.cnf,T,10
uf50-0980.cnf,T,78
uf50-0493.cnf,T,59
uf50-0704.cnf,T,94
uf50-0228.cnf,T,136
uf50-0782.cnf,T,81
uf50-0863.cnf,T,347
uf50-0169.cnf,T,10
uf50-0395.cnf,T,94
uf50-0890.cnf,T,33
uf50-0998.cnf,T,249
uf50-0439.cnf,T,156
uf50-0623.cnf,T,8
uf50-0969.cnf,T,317
uf50-0920.cnf,T,60
uf50-0133.cnf,T,588
uf50-0416.cnf,T,114
uf50-0298.cnf,T,190
uf50-0896.cnf,T,12
uf50-0200.cnf,T,207
uf50-0748.cnf,T,25
uf50-0991.cnf,T,5
uf50-0952.cnf,T,117
uf50-0274.cnf,T,11
uf50-0361.cnf,T,35
uf50-0141.cnf,T,303
uf50-051.cnf,T,471
uf50-0825.cnf,T,409
uf50-0235.cnf,T,348
uf50-0652.cnf,T,118
uf50-0173.cnf,T,506
uf50-0895.cnf,T,256
uf50-0552.cnf,T,137
uf50-0514.cnf,T,55
uf50-0100.cnf,T,126
uf50-0231.cnf,T,216
uf50-0749.cnf,T,28
uf50-0567.cnf,T,29
uf50-0664.cnf,T,109
uf50-0483.cnf,T,306
uf50-0108.cnf,T,17
uf50-011.cnf,T,81
uf50-0573.cnf,T,73
uf50-0136.cnf,T,10
uf50-095.cnf,T,56
uf50-0914.cnf,T,1269
uf50-0918.cnf,T,128
uf50-0946.cnf,T,89
uf50-0459.cnf,T,506
uf50-0940.cnf,T,29
